分镜号,天数,时间,段落,场景,画面内容,景别/机位,预计时长(秒),旁白/台词提示,画面参考,BGM氛围,备注
S015,Day 1,20:30,拍照打卡,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,⭐4 出镜推荐
S016,Day 1,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,如为大结局则换成总结
S017,Day 2,开场,当日开篇,车外/车内,2025-10-02 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 2 天，第 2 天｜2025-10-02｜行驶 149.7km｜耗时…,标题卡,激昂 / 清新,开头可放当日最震撼镜头做钩子
S018,Day 2,08:00,丹巴甲居藏寨,幕后,摄影师工作瞬间,中景,10-20,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,,轻快鼓点,⭐4 出镜推荐
S019,Day 2,08:00,丹巴甲居藏寨,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,⭐4 出镜推荐
S020,Day 2,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…,,轻快启程,
S021,Day 2,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…,,轻快启程,
S022,Day 2,08:45,上午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,可穿插踩坑提醒字幕
S023,Day 2,08:45,上午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,可穿插踩坑提醒字幕
S024,Day 2,10:50,新都桥,车外,人车合影 / 标志性机位,广角,10-20,【感叹】终于到 新都桥，现场比照片还震撼！,,大气磅礴,可穿插踩坑提醒字幕；⭐4 出镜推荐
S025,Day 2,10:50,新都桥,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴,可穿插踩坑提醒字幕；⭐4 出镜推荐
S026,Day 2,11:30,中午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,
S027,Day 2,11:30,中午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,
S028,Day 2,11:45,新都桥,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，尝尝当地特色,,轻松治愈,⭐4 出镜推荐
S029,Day 2,13:30,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,新都桥十里画廊真的名不虚传，处处都是Windows桌面 #推荐 #拍照,,动感节奏,
S030,Day 2,13:30,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,
S031,Day 2,15:00,康定,环境,餐厅环境 / 夜市烟火,广角,8-12,晚餐吃的康定本地牦牛肉汤锅，强烈推荐！人均90 #推荐 #晚餐,,市井烟火,⭐4 出镜推荐
S032,Day 2,21:00,晚餐,环境,餐厅环境 / 夜市烟火,广角,8-12,康定夜景不错，溜溜城有演出可以看看 #推荐,,市井烟火,⭐4 出镜推荐
S033,Day 2,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,如为大结局则换成总结
S034,Day 3,开场,当日开篇,车外/车内,2025-10-03 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 3 天，第 3 天｜2025-10-03｜行驶 178.0km｜耗时…,标题卡,激昂 / 清新,开头可放当日最震撼镜头做钩子
S035,Day 3,07:45,康定,环境,服务区快速扫镜,平移,5-10,,,短暂留白,
S036,Day 3,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…,,轻快启程,
S037,Day 3,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…,,轻快启程,
S038,Day 3,11:30,午餐,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，尝尝当地特色,,轻松治愈,⭐4 出镜推荐
S039,Day 3,13:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,
S040,Day 3,13:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,
S041,Day 3,14:20,成都,环境,服务区快速扫镜,平移,5-10,,,短暂留白,
S042,Day 3,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,如为大结局则换成总结
