分镜号,天数,时间,段落,场景,画面内容,景别/机位,预计时长(秒),旁白/台词提示,画面参考,BGM氛围,累计里程,费用提示,路况/评分,踩坑提醒,拍摄重点/备注
S011,Day 1,16:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 硬核引擎声,201.9km,,均速33km/h｜路况3/5｜难度中等,,⭐4 出镜推荐
S012,Day 1,17:00,丹巴甲居藏寨,大堂,办理入住 / 门卡,中景,15-25,【口播】¥380/晚，给大家看看房间,,温暖舒缓,214.2km,住宿¥380/晚；餐饮¥120；门票¥50；人均¥120,,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,可穿插踩坑提醒字幕；⭐4 出镜推荐
S013,Day 1,17:00,丹巴甲居藏寨,房间,一镜到底 Room Tour,手持,15-25,【口播】¥380/晚，给大家看看房间,,温暖舒缓,214.2km,住宿¥380/晚；餐饮¥120；门票¥50；人均¥120,,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,可穿插踩坑提醒字幕；⭐4 出镜推荐
S014,Day 1,20:30,拍照打卡,幕后,摄影师工作瞬间,中景,10-20,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,,轻快鼓点,214.2km,,,,
S015,Day 1,20:30,拍照打卡,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,214.2km,,,,
S016,Day 1,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…，油费约 ¥420,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
S017,Day 2,开场,当日开篇,车外/车内,2025-10-02 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 2 天，第 2 天｜2025-10-02｜里程 149.7km｜纯驾驶 2 小时 57 …，今日驾驶难度 地狱,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S018,Day 2,08:00,丹巴甲居藏寨,幕后,摄影师工作瞬间,中景,10-20,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,,轻快鼓点,214.2km,,,,
S019,Day 2,08:00,丹巴甲居藏寨,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,214.2km,,,,
S020,Day 2,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…，已跑 223 公里,,轻快启程 · 硬核引擎声,223.2km,,,,⭐4 出镜推荐
S021,Day 2,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…，已跑 223 公里,,轻快启程 · 硬核引擎声,223.2km,,,,⭐4 出镜推荐
S022,Day 2,08:45,上午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【测评】路况 4/5，难度 简单,,动感节奏 · 硬核引擎声,232.1km,,均速45km/h｜路况4/5｜难度简单,折多山垭口4298米，风大温度低，注意保暖 #路况,可穿插踩坑提醒字幕；⭐4 出镜推荐
S023,Day 2,08:45,上午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 硬核引擎声,232.1km,,均速45km/h｜路况4/5｜难度简单,折多山垭口4298米，风大温度低，注意保暖 #路况,可穿插踩坑提醒字幕；⭐4 出镜推荐
S024,Day 2,10:50,新都桥,车外,人车合影 / 标志性机位,广角,10-20,【测评】新都桥 打 4 分,,大气磅礴,302.1km,,,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,可穿插踩坑提醒字幕；⭐4 出镜推荐
S025,Day 2,10:50,新都桥,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴,302.1km,,,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,可穿插踩坑提醒字幕；⭐4 出镜推荐
S026,Day 2,11:30,中午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【测评】路况 1/5，难度 地狱,,动感节奏 · 硬核引擎声,302.1km,,路况1/5｜难度地狱,,⭐4 出镜推荐；驾驶地狱，拍慢动作/紧张感
S027,Day 2,11:30,中午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 硬核引擎声,302.1km,,路况1/5｜难度地狱,,⭐4 出镜推荐；驾驶地狱，拍慢动作/紧张感
S028,Day 2,11:45,新都桥,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，人均约 60,,轻松治愈,302.1km,餐饮¥60；人均¥60,,,
S029,Day 2,13:30,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【测评】路况 5/5，难度 简单,,动感节奏 · 硬核引擎声,314.5km,,均速62km/h｜路况5/5｜难度简单,,⭐4 出镜推荐
S030,Day 2,13:30,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 硬核引擎声,314.5km,,均速62km/h｜路况5/5｜难度简单,,⭐4 出镜推荐
S031,Day 2,15:00,康定,环境,餐厅环境 / 夜市烟火,广角,8-12,【口播】干饭人干饭魂，人均约 90,,市井烟火,363.9km,住宿¥420/晚；餐饮¥90；人均¥90,,,
S032,Day 2,21:00,晚餐,环境,餐厅环境 / 夜市烟火,广角,8-12,【口播】干饭人干饭魂，尝尝当地特色,,市井烟火,363.9km,,,,
S033,Day 2,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
S034,Day 3,开场,当日开篇,车外/车内,2025-10-03 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 3 天，第 3 天｜2025-10-03｜里程 178.0km｜纯驾驶 3 小时 30 …，今日驾驶难度 困难,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S035,Day 3,07:45,康定,环境,服务区快速扫镜,平移,5-10,,,短暂留白,363.9km,过路¥158,,,
S036,Day 3,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…，已跑 390 公里,,轻快启程 · 硬核引擎声,389.8km,,均速62km/h｜路况5/5｜难度简单,,⭐4 出镜推荐
S037,Day 3,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…，已跑 390 公里,,轻快启程 · 硬核引擎声,389.8km,,均速62km/h｜路况5/5｜难度简单,,⭐4 出镜推荐
S038,Day 3,11:30,午餐,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，尝尝当地特色,,轻松治愈,519.7km,,,,
S039,Day 3,13:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【测评】路况 2/5，难度 困难,,动感节奏 · 硬核引擎声,522.9km,,均速22km/h｜路况2/5｜难度困难,,⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S040,Day 3,13:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 硬核引擎声,522.9km,,均速22km/h｜路况2/5｜难度困难,,⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S041,Day 3,14:20,成都,环境,服务区快速扫镜,平移,5-10,,,短暂留白,541.8km,,,,
S042,Day 3,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
