天数,日期,时间,事件类型,事件名称,描述,里程(km),累计里程(km),时长(分钟),平均速度(km/h),油费,过路费,其他费用,总费用,纬度,经度,照片数,标签,踩坑提醒,亮点,评分
2,2025-10-02,10:50,scenic_stop,新都桥,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20 /  / ⏰ 建议停留：30 分钟,0,302.15,30,,0.0,0.0,0.0,0.0,30.06,101.493,0,"重点,避坑",折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20,,4
2,2025-10-02,11:30,driving,中午行驶,【累计里程】 / 已行驶 302.1 公里,0.0,302.15,0,,0.0,0.0,0.0,0.0,30.055,101.49,0,,,,
2,2025-10-02,11:45,lunch,新都桥,到新都桥了，找了家川菜馆午餐，味道正宗人均60 #午餐,0,302.15,90,,0.0,0.0,0.0,0.0,30.05,101.49,0,"重点,午餐",,,4
2,2025-10-02,13:30,driving,下午行驶,新都桥十里画廊真的名不虚传，处处都是Windows桌面 #推荐 #拍照 /  / 【路况速览】 / 📏 本段里程：61.7 公里｜⏱ 预计耗时：1 小时｜🚗 平均车速：62 km/h /  / 【累计里程】 / 已行驶 363.9 公里,61.7,363.85,60,61.7,0.0,0.0,0.0,0.0,30.052,101.48,0,"推荐,拍照",,新都桥十里画廊真的名不虚传，处处都是Windows桌面 #推荐 #拍照,
2,2025-10-02,15:00,dinner,康定,到达康定，住溜溜城附近的酒店，420/晚，停车方便 #住宿 /  / 晚餐吃的康定本地牦牛肉汤锅，强烈推荐！人均90 #推荐 #晚餐,0,363.85,240,,0.0,0.0,0.0,0.0,30.058,101.961,0,"重点,住宿,推荐,晚餐",,晚餐吃的康定本地牦牛肉汤锅，强烈推荐！人均90 #推荐 #晚餐,4
2,2025-10-02,21:00,dinner,晚餐,康定夜景不错，溜溜城有演出可以看看 #推荐,0.0,541.84,0,,0.0,0.0,0.0,0.0,,,0,"重点,推荐",,康定夜景不错，溜溜城有演出可以看看 #推荐,4
3,2025-10-03,07:45,rest,康定,出发回成都，走雅康高速，新高速路况超好 #路况,0,363.85,15,,0.0,0.0,0.0,0.0,30.058,101.961,0,路况,,,
3,2025-10-03,08:30,departure,早晨出发,二郎山隧道这段真的壮观，全长13公里 #推荐 /  / 【路况速览】 / 📏 本段里程：155.9 公里｜⏱ 预计耗时：2 小时 30 分钟｜🚗 平均车速：62 km/h /  / 【累计里程】 / 已行驶 519.7 公里,155.86,519.71,150,62.3,0.0,0.0,0.0,0.0,30.05,102.1,0,推荐,,二郎山隧道这段真的壮观，全长13公里 #推荐,
3,2025-10-03,11:30,lunch,午餐,中途雅安服务区吃午餐，选择多价格公道 #午餐,0,519.71,90,,0.0,0.0,0.0,0.0,30.5,103.8,0,"重点,午餐",,,4
3,2025-10-03,13:10,driving,下午行驶,【路况速览】 / 📏 本段里程：22.1 公里｜⏱ 预计耗时：1 小时｜🚗 平均车速：22 km/h /  / 【累计里程】 / 已行驶 541.8 公里,22.13,541.84,60,22.1,0.0,0.0,0.0,0.0,30.51,103.83,0,,,,
3,2025-10-03,14:20,rest,成都,回到成都，行程圆满结束！总里程约780公里,0,541.84,0,,0.0,0.0,0.0,0.0,30.5728,104.0668,0,,,,
